,ds,yhat
0,2016-01-04,19.954030390969855
1,2016-01-05,19.995367928086946
2,2016-01-06,20.040277128150912
3,2016-01-07,20.012190563678022
4,2016-01-08,20.005128399855437
5,2016-01-11,19.971546972541166
6,2016-01-12,19.970764949829434
7,2016-01-13,19.973931788131125
8,2016-01-14,19.90528273493758
9,2016-01-15,19.85959503799846
10,2016-01-19,19.70271767020264
11,2016-01-20,19.685592429073694
12,2016-01-21,19.60134413920044
13,2016-01-22,19.544827210509396
14,2016-01-25,19.408721374330664
15,2016-01-26,19.389941061723913
16,2016-01-27,19.383158058356393
17,2016-01-28,19.31230298418847
18,2016-01-29,19.271678169376045
19,2016-02-01,19.192266151285914
20,2016-02-02,19.193362654489892
21,2016-02-03,19.20597157757446
22,2016-02-04,19.153493783288905
23,2016-02-05,19.129756594573976
24,2016-02-08,19.088345004746856
25,2016-02-09,19.097034304974446
26,2016-02-10,19.114478262385692
27,2016-02-11,19.064068771212785
28,2016-02-12,19.039701965531137
29,2016-02-16,18.98118069943861
30,2016-02-17,18.987725327909157
31,2016-02-18,18.925299566406466
32,2016-02-19,18.888153913919517
33,2016-02-22,18.790840077818824
34,2016-02-23,18.777509718163202
35,2016-02-24,18.772163441147885
36,2016-02-25,18.698707970169874
37,2016-02-26,18.651505001013174
38,2016-02-29,18.530123867516807
39,2016-03-01,18.5106285663229
40,2016-03-02,18.499839269818438
41,2016-03-03,18.421481925496693
42,2016-03-04,18.369711760038502
43,2016-03-07,18.23440087626918
44,2016-03-08,18.20945848849086
45,2016-03-09,18.192502050719575
46,2016-03-10,18.107114659694815
47,2016-03-11,18.047352551900257
48,2016-03-14,17.882088764135684
49,2016-03-15,17.84538769263301
50,2016-03-16,17.816040906737058
51,2016-03-17,17.717868904869988
52,2016-03-18,17.645215013567597
53,2016-03-21,17.444088661610145
54,2016-03-22,17.39765020490433
55,2016-03-23,17.36033840727004
56,2016-03-24,17.256361165417918
57,2016-03-28,16.98758352481692
58,2016-03-29,16.950668637807844
59,2016-03-30,16.926446906599757
60,2016-03-31,16.839120099272463
61,2016-04-01,16.783304200881236
62,2016-04-04,16.669493433872265
63,2016-04-05,16.66402814313055
64,2016-04-06,16.67307370512406
65,2016-04-07,16.620302964318668
66,2016-04-08,16.599760448447007
67,2016-04-11,16.590007523939153
68,2016-04-12,16.6166043951733
69,2016-04-13,16.655427708592022
70,2016-04-14,16.629625185621435
71,2016-04-15,16.632774378198725
72,2016-04-18,16.6708804439072
73,2016-04-19,16.70493941320603
74,2016-04-20,16.746841056022284
75,2016-04-21,16.71979857006476
76,2016-04-22,16.71755306495218
77,2016-04-25,16.717551181111425
78,2016-04-26,16.733001315687037
79,2016-04-27,16.754204282070233
80,2016-04-28,16.704961184445484
81,2016-04-29,16.679626985045335
82,2016-05-02,16.61122488154588
83,2016-05-03,16.606135880128882
84,2016-05-04,16.608817114289145
85,2016-05-05,16.54351350356605
86,2016-05-06,16.50494858584536
87,2016-05-09,16.41621539240024
88,2016-05-10,16.411126315403823
89,2016-05-11,16.41711570531618
90,2016-05-12,16.35823849205491
91,2016-05-13,16.32894051153609
92,2016-05-16,16.28114062626358
93,2016-05-17,16.292470297789905
94,2016-05-18,16.315360298622924
95,2016-05-19,16.27329070296289
96,2016-05-20,16.260132716034
97,2016-05-23,16.25132054462287
98,2016-05-24,16.27089847610962
99,2016-05-25,16.299007570504536
100,2016-05-26,16.25884436121086
101,2016-05-27,16.24408056052079
102,2016-05-31,16.21246278940973
103,2016-06-01,16.221567696487277
104,2016-06-02,16.159568367805313
105,2016-06-03,16.120533707353786
106,2016-06-06,16.00257261248815
107,2016-06-07,15.977300319946375
108,2016-06-08,15.957617872269761
109,2016-06-09,15.86762200897698
110,2016-06-10,15.80193846933998
111,2016-06-13,15.617178729832514
112,2016-06-14,15.575466607876674
113,2016-06-15,15.542826783176071
114,2016-06-16,15.443592169670197
115,2016-06-17,15.3725486047846
116,2016-06-20,15.195419664425248
117,2016-06-21,15.163923462317504
118,2016-06-22,15.145044252518286
119,2016-06-23,15.062846524779456
120,2016-06-24,15.01179559808632
121,2016-06-27,14.908576686679812
122,2016-06-28,14.904960308372917
123,2016-06-29,14.91484871626238
124,2016-06-30,14.861865588233588
125,2016-07-01,14.840047112072863
126,2016-07-05,14.84254450357374
127,2016-07-06,14.876202398953613
128,2016-07-07,14.84503087795698
129,2016-07-08,14.842872500673415
130,2016-07-11,14.868255124332098
131,2016-07-12,14.900070605234658
132,2016-07-13,14.941148912435992
133,2016-07-14,14.914906834776525
134,2016-07-15,14.915242286968692
135,2016-07-18,14.934364033036642
136,2016-07-19,14.959884011613827
137,2016-07-20,14.992779030107211
138,2016-07-21,14.956608874973728
139,2016-07-22,14.945420718560367
140,2016-07-25,14.921965607151225
141,2016-07-26,14.931169686784592
142,2016-07-27,14.946971485639999
143,2016-07-28,14.893109701423107
144,2016-07-29,14.863816776705136
145,2016-08-01,14.785526422324702
146,2016-08-02,14.776966738302493
147,2016-08-03,14.775622406176755
148,2016-08-04,14.705455510694547
149,2016-08-05,14.660923892879387
150,2016-08-08,14.545536238037776
151,2016-08-09,14.528185819972812
152,2016-08-10,14.520154680690883
153,2016-08-11,14.44556360364615
154,2016-08-12,14.399001146434054
155,2016-08-15,14.292663703977777
156,2016-08-16,14.283432394367452
157,2016-08-17,14.285983213993054
158,2016-08-18,14.224309307341152
159,2016-08-19,14.19282035409502
160,2016-08-22,14.14210566420319
161,2016-08-23,14.153808349164155
162,2016-08-24,14.177854372922699
163,2016-08-25,14.137810320345595
