,open,high,low,close,adjclose,volume,ticker
2016-01-04,4897.64990234375,4903.08984375,4846.97998046875,4903.08984375,4903.08984375,2218420000,^IXIC
2016-01-05,4917.83984375,4926.72998046875,4872.740234375,4891.43017578125,4891.43017578125,1927380000,^IXIC
2016-01-06,4813.759765625,4866.0400390625,4804.68994140625,4835.759765625,4835.759765625,2168620000,^IXIC
2016-01-07,4736.39990234375,4788.02001953125,4688.169921875,4689.43017578125,4689.43017578125,2552590000,^IXIC
2016-01-08,4722.02001953125,4742.56982421875,4637.85009765625,4643.6298828125,4643.6298828125,2288750000,^IXIC
2016-01-11,4673.43994140625,4683.02001953125,4573.77978515625,4637.990234375,4637.990234375,2391110000,^IXIC
2016-01-12,4681.5400390625,4714.7998046875,4618.02978515625,4685.919921875,4685.919921875,2147470000,^IXIC
2016-01-13,4706.02001953125,4713.97998046875,4517.56005859375,4526.06005859375,4526.06005859375,2533200000,^IXIC
2016-01-14,4545.3701171875,4650.5498046875,4470.58984375,4615.0,4615.0,2565560000,^IXIC
2016-01-15,4464.3701171875,4520.4501953125,4419.41015625,4488.419921875,4488.419921875,2818630000,^IXIC
2016-01-19,4548.0498046875,4550.56982421875,4430.77001953125,4476.9501953125,4476.9501953125,2394550000,^IXIC
2016-01-20,4405.22021484375,4514.919921875,4313.39013671875,4471.68994140625,4471.68994140625,3204130000,^IXIC
2016-01-21,4480.7001953125,4537.14990234375,4432.02001953125,4472.06005859375,4472.06005859375,2447750000,^IXIC
2016-01-22,4557.39013671875,4591.18017578125,4540.27001953125,4591.18017578125,4591.18017578125,2153340000,^IXIC
2016-01-25,4574.58984375,4590.43994140625,4514.77978515625,4518.490234375,4518.490234375,2028880000,^IXIC
2016-01-26,4537.0400390625,4583.2099609375,4503.52978515625,4567.669921875,4567.669921875,1981180000,^IXIC
2016-01-27,4548.8701171875,4568.85009765625,4450.830078125,4468.169921875,4468.169921875,2115710000,^IXIC
2016-01-28,4533.81005859375,4533.81005859375,4447.5,4506.68017578125,4506.68017578125,2322310000,^IXIC
2016-01-29,4512.08984375,4613.9501953125,4511.2998046875,4613.9501953125,4613.9501953125,2617550000,^IXIC
2016-02-01,4587.58984375,4636.93017578125,4565.3701171875,4620.3701171875,4620.3701171875,1983340000,^IXIC
